;missing in:;chi2:;p_value;category
3067;stk11_mut;179.8386176629014;7.864872248518532e-26;usp28_mut
6910;tbl1xr1_mut;237.3008461626184;7.945994558880696e-26;ptprd_mut
2290;fam20c_mut;269.3763984886938;9.027288232508586e-26;stab2_mut
5466;prr16_mut;172.28834093736015;9.298997671271086e-26;palld_mut
5913;agtr2_mut;172.28834093736015;9.298997671271086e-26;palld_mut
5613;dtwd2_mut;172.28834093736015;9.298997671271086e-26;prkcq_mut
3613;flt3_mut;330.93376821868856;1.0099073884365737e-25;tg_mut
4239;large1_mut;236.59576729271643;1.0517698619919761e-25;setd2_mut
4093;prkacg_mut;222.58695176558106;1.05463638209872e-25;afdn_mut
6191;foxo1_mut;189.63886723214375;1.625292593797289e-25;aff2_mut
6904;tbl1xr1_mut;237.3214439349425;1.717424731290305e-25;ros1_mut
3345;ptpn22_mut;235.34388339932295;1.7294290081234407e-25;setd2_mut
6629;ccnd3_mut;210.81576872602275;1.9275631004861582e-25;taf1_mut
5321;clrn2_mut;157.85735281403993;2.1861865550296957e-25;gps2_mut
3082;stk11_mut;179.75366581305428;2.2718694899450396e-25;map3k10_mut
4803;ppp2r2a_mut;291.71129082066204;2.7458882623412447e-25;notch1_mut
4805;ppp2r2a_mut;291.67868310078785;2.778686088936637e-25;ncor2_mut
1426;myo3a_mut;207.7849906228909;2.843386122010014e-25;kdm6a_mut
2908;type_of_breast_surgery;213.6384464208904;3.3206933441137556e-25;asxl2_mut
1193;mutation_count;120.70547124180541;3.77549486625852e-25;cohort
3013;stk11_mut;360.4290449537205;6.443845790643475e-25;dnah5_mut
4041;prkacg_mut;415.9069256365042;7.0637580974148e-25;pik3ca_mut
5751;ctnna1_mut;172.31300922272374;7.644921082301987e-25;jak1_mut
2573;nek1_mut;302.247070802414;9.587882670163668e-25;utrn_mut
6773;nr3c1_mut;210.83539811788236;1.0454655009851074e-24;asxl2_mut
6192;foxo1_mut;189.63886723214378;1.0758416446222548e-24;lifr_mut
2040;kdm3a_mut;176.11928472876795;1.108776973020084e-24;egfr_mut
4339;tumor_other_histologic_subtype;545.7985653884766;1.2854507047006089e-24;ahnak2_mut
4631;cancer_type_detailed;545.7985653884766;1.2854507047006089e-24;ahnak2_mut
4485;oncotree_code;545.7985653884766;1.2854507047006089e-24;ahnak2_mut
1980;kdm3a_mut;294.45293942360905;1.2952228816239913e-24;col6a3_mut
4885;ppp2r2a_mut;145.61473104720065;1.572206581164402e-24;prkcz_mut
4789;ppp2r2a_mut;363.94154948993656;1.7244205530005213e-24;kmt2d_mut
3660;flt3_mut;198.92641747912904;1.9643497186165663e-24;ctnna3_mut
2415;npnt_mut;363.424264766118;2.043493377837122e-24;kmt2d_mut
6156;foxo1_mut;251.8299569461188;2.0875506815844592e-24;runx1_mut
5740;ctnna1_mut;172.352753158286;2.092554979057324e-24;usp28_mut
5458;prr16_mut;172.30806505173078;2.133820885507297e-24;smarcc2_mut
5969;magea8_mut;412.3437584055404;2.1461581084539996e-24;pik3ca_mut
5759;ctnna1_mut;172.29326409729015;2.1476666633827586e-24;zfp36l1_mut
6621;ccnd3_mut;210.8393366740101;2.3951668125528738e-24;adgra2_mut
6770;nr3c1_mut;210.83933667401004;2.3951668125529424e-24;adgra2_mut
1077;fanca_mut;367.4307931354339;2.6770843337794815e-24;ryr2_mut
6188;foxo1_mut;189.6432984544494;2.6939434303770817e-24;brca2_mut
6426;braf_mut;379.83047377033586;3.029943621445928e-24;cdh1_mut
2841;type_of_breast_surgery;630.5132295089695;3.328546168999255e-24;nottingham_prognostic_index
4205;large1_mut;355.33533400925893;3.477639206007195e-24;dnah5_mut
3366;ptpn22_mut;188.87856398378693;3.719179839467978e-24;brca2_mut
3228;sik2_mut;179.76306465547992;4.318214283348284e-24;setdb1_mut
3079;stk11_mut;179.76306465547992;4.318214283348284e-24;setdb1_mut
4128;prkacg_mut;165.8925727217372;4.571876932848436e-24;agmo_mut
3744;taf4b_mut;675.0552744263256;4.645961264633768e-24;tp53_mut
1754;gldc_mut;160.75419009978228;5.369437599639401e-24;bcas3_mut
6774;nr3c1_mut;210.82753370381974;5.455683785968987e-24;apc_mut
5456;prr16_mut;172.3080650517308;5.815382870114514e-24;egfr_mut
6053;magea8_mut;172.30806505173078;5.8153828701145984e-24;map3k10_mut
5903;agtr2_mut;172.30806505173078;5.8153828701145984e-24;egfr_mut
5324;clrn2_mut;157.8464663911336;6.644639651105696e-24;nrg3_mut
6339;nt5e_mut;189.64329845444936;6.650555798347004e-24;arid2_mut
6190;foxo1_mut;189.64329845444936;6.650555798347004e-24;arid2_mut
2097;er_status_measured_by_ihc;627.6786146653542;6.905984956330162e-24;nottingham_prognostic_index
1890;sbno1_mut;176.1337383594846;7.863705678739822e-24;arid5b_mut
2721;sik1_mut;314.9625104093899;7.928164805816326e-24;birc6_mut
2417;npnt_mut;363.3718024895871;1.0010562839804049e-23;ryr2_mut
4084;prkacg_mut;222.6464513293783;1.208981526704654e-23;arid1b_mut
1688;gldc_mut;268.8129848666115;1.2536446683326003e-23;col12a1_mut
4662;cancer_type_detailed;252.59818036396774;1.2560654482241591e-23;thada_mut
4370;tumor_other_histologic_subtype;252.59818036396774;1.2560654482241591e-23;thada_mut
4516;oncotree_code;252.59818036396774;1.2560654482241591e-23;thada_mut
5451;prr16_mut;172.32291339449947;1.542377513814173e-23;pbrm1_mut
5757;ctnna1_mut;172.30312614609568;1.5555959508279875e-23;erbb4_mut
5243;clrn2_mut;316.1901882276053;1.6407448105241718e-23;tg_mut
5173;ldlrap1_mut;157.85735281403993;1.9447651231319897e-23;men1_mut
2038;kdm3a_mut;176.1337383594846;2.0404259583304283e-23;setdb1_mut
2554;nek1_mut;606.1875833692516;2.3202973866287673e-23;muc16_mut
2720;sik1_mut;315.0324497801022;2.4362363325766142e-23;tg_mut
1975;kdm3a_mut;323.18987679298255;2.5508099187802748e-23;akap9_mut
4202;large1_mut;355.3872410546139;2.810870432940208e-23;kmt2d_mut
3166;sik2_mut;314.43978041300636;2.981899662921919e-23;tg_mut
1844;sbno1_mut;253.81454222022836;3.093506153189384e-23;stab2_mut
3793;taf4b_mut;210.1719245571945;3.5154818169336485e-23;setd1a_mut
6484;braf_mut;189.65217513210882;3.855677459242208e-23;foxo3_mut
5895;agtr2_mut;172.32787341218526;4.0273061085458196e-23;ncoa3_mut
5673;ctnna1_mut;603.6806453719677;4.42712801429063e-23;muc16_mut
3221;sik2_mut;179.81020957058666;6.840020194866638e-23;lifr_mut
1986;kdm3a_mut;263.9933950669406;7.258274285414513e-23;col12a1_mut
6184;foxo1_mut;189.6610708380161;9.06337522456863e-23;ctnna3_mut
5702;ctnna1_mut;257.8081927584027;9.9695221414186e-23;pten_mut
5603;dtwd2_mut;172.31300922272374;1.0403602740640506e-22;setdb1_mut
3362;ptpn22_mut;188.91429741741254;1.232214699320239e-22;ctnna3_mut
3653;flt3_mut;198.98544761545438;1.283372225766046e-22;asxl2_mut
5234;clrn2_mut;367.96163146042295;1.3245433773367482e-22;cdh1_mut
3596;flt3_mut;598.9726065524374;1.4794880134028353e-22;muc16_mut
3068;stk11_mut;179.81966880702947;1.6649747984483938e-22;brca2_mut
6568;ccnd3_mut;527.1616408860003;2.0895036584052014e-22;ahnak2_mut
6040;magea8_mut;172.34278529423327;2.5888050520177115e-22;cacna2d3_mut
2031;kdm3a_mut;176.20623826556482;3.1031990016661884e-22;lifr_mut
3759;taf4b_mut;315.71897241886643;3.1300392102445366e-22;herc2_mut
3761;taf4b_mut;315.63569497547485;3.218232445445888e-22;akap9_mut
2717;sik1_mut;315.17398249313146;3.7540077309861154e-22;herc2_mut
2651;nek1_mut;150.68313601330607;4.650633725937308e-22;brip1_mut
6183;foxo1_mut;189.66998563342094;4.818453622642022e-22;kdm6a_mut
6616;ccnd3_mut;210.8630573300838;5.743602524955368e-22;thsd7a_mut
6045;magea8_mut;172.32787341218526;6.449154258898653e-22;bap1_mut
2878;type_of_breast_surgery;257.76229959592837;6.905224344706644e-22;col12a1_mut
5682;ctnna1_mut;345.169334562349;7.522730840077787e-22;dnah2_mut
